source,target,source_label,type,target_label
UBERON:0000945,UBERON:0001041,stomach,part of,foregut
UBERON:0000946,UBERON:0000948,cardiac valve,part of,heart
UBERON:0002099,UBERON:0000948,cardiac septum,part of,heart
UBERON:0002348,UBERON:0000948,epicardium,part of,heart
UBERON:0000948,UBERON:0015410,heart,part of,heart plus pericardium
UBERON:0002407,UBERON:0015410,pericardium,part of,heart plus pericardium
UBERON:0000955,UBERON:0001017,brain,part of,central nervous system
UBERON:0002240,UBERON:0001017,spinal cord,part of,central nervous system
UBERON:0000956,UBERON:0000203,cerebral cortex,part of,pallium
UBERON:0000956,UBERON:0005401,cerebral cortex,part of,cerebral hemisphere gray matter
UBERON:0000965,UBERON:0001801,lens of camera-type eye,part of,anterior segment of eyeball
UBERON:0001766,UBERON:0001801,anterior chamber of eyeball,part of,anterior segment of eyeball
UBERON:0001768,UBERON:0001801,uvea,part of,anterior segment of eyeball
UBERON:0000966,UBERON:0001802,retina,part of,posterior segment of eyeball
UBERON:0000966,UBERON:0019207,retina,part of,chorioretinal region
UBERON:0001776,UBERON:0019207,optic choroid,part of,chorioretinal region
UBERON:0000970,UBERON:0002104,eye,part of,visual system
UBERON:0000971,UBERON:0000018,ommatidium,part of,compound eye
UBERON:0000977,UBERON:0009778,pleura,part of,pleural sac
UBERON:0000995,UBERON:0004175,uterus,part of,internal genitalia
UBERON:0000995,UBERON:0004175,uterus,part of,internal genitalia
UBERON:0000996,UBERON:0003975,vagina,part of,internal female genitalia
UBERON:0001003,UBERON:0002097,skin epidermis,part of,skin of body
UBERON:0002067,UBERON:0002097,dermis,part of,skin of body
UBERON:0002419,UBERON:0002097,skin gland,part of,skin of body
UBERON:0001032,UBERON:0004456,sensory system,part of,entire sense organ system
UBERON:0001043,UBERON:0004908,esophagus,part of,upper digestive tract
UBERON:0001052,UBERON:0006866,rectum,part of,terminal part of digestive tract
UBERON:0001052,UBERON:0012361,rectum,part of,internal anal region
UBERON:0001058,UBERON:0000955,mushroom body,part of,brain
UBERON:0008998,UBERON:0000955,vasculature of brain,part of,brain
UBERON:0013694,UBERON:0000955,brain endothelium,part of,brain
UBERON:0001068,UBERON:0011270,skin of back,part of,dorsal trunk
UBERON:0001133,UBERON:0007100,cardiac muscle tissue,part of,primary circulatory organ
UBERON:0001134,UBERON:0014892,skeletal muscle tissue,part of,skeletal muscle organ
UBERON:0001178,UBERON:0002358,visceral peritoneum,part of,peritoneum
UBERON:0001366,UBERON:0002358,parietal peritoneum,part of,peritoneum
UBERON:0001199,UBERON:0001167,mucosa of stomach,part of,wall of stomach
UBERON:0001211,UBERON:0001242,Peyer's patch,part of,intestinal mucosa
UBERON:0001277,UBERON:0001242,intestinal epithelium,part of,intestinal mucosa
UBERON:0001211,UBERON:0000030,Peyer's patch,part of,lamina propria
UBERON:0006815,UBERON:0000030,areolar connective tissue,part of,lamina propria
UBERON:0001212,UBERON:0002114,duodenal gland,part of,duodenum
UBERON:0001225,UBERON:0008987,cortex of kidney,part of,renal parenchyma
UBERON:0001229,UBERON:0001225,renal corpuscle,part of,cortex of kidney
UBERON:0001552,UBERON:0001225,kidney arcuate artery,part of,cortex of kidney
UBERON:0002303,UBERON:0001225,juxtaglomerular apparatus,part of,cortex of kidney
UBERON:0004203,UBERON:0001225,cortical collecting duct,part of,cortex of kidney
UBERON:0005168,UBERON:0001225,renal interlobular vein,part of,cortex of kidney
UBERON:0005268,UBERON:0001225,renal cortex artery,part of,cortex of kidney
UBERON:0005269,UBERON:0001225,renal cortex vein,part of,cortex of kidney
UBERON:0005270,UBERON:0001225,renal cortex interstitium,part of,cortex of kidney
UBERON:0005271,UBERON:0001225,juxtamedullary cortex,part of,cortex of kidney
UBERON:0006851,UBERON:0001225,renal cortex peritubular capillary,part of,cortex of kidney
UBERON:0006853,UBERON:0001225,renal cortex tubule,part of,cortex of kidney
UBERON:0009871,UBERON:0001225,nephrogenic zone,part of,cortex of kidney
UBERON:0001229,UBERON:0001285,renal corpuscle,part of,nephron
UBERON:0001232,UBERON:0001285,collecting duct of renal tubule,part of,nephron
UBERON:0001232,UBERON:0004100,collecting duct of renal tubule,part of,renal collecting system
UBERON:0001235,UBERON:0002369,adrenal cortex,part of,adrenal gland
UBERON:0001236,UBERON:0002369,adrenal medulla,part of,adrenal gland
UBERON:0001238,UBERON:0001204,lamina propria of small intestine,part of,mucosa of small intestine
UBERON:0001902,UBERON:0001204,epithelium of small intestine,part of,mucosa of small intestine
UBERON:0003454,UBERON:0001204,small intestine Peyer's patch,part of,mucosa of small intestine
UBERON:0001241,UBERON:0002108,crypt of Lieberkuhn of small intestine,part of,small intestine
UBERON:0002115,UBERON:0002108,jejunum,part of,small intestine
UBERON:0002116,UBERON:0002108,ileum,part of,small intestine
UBERON:0001249,UBERON:0001959,spleen lymphoid follicle,part of,white pulp of spleen
UBERON:0001249,UBERON:0006561,spleen lymphoid follicle,part of,non-lymphatic part of lymphoid system
UBERON:0001251,UBERON:0002106,marginal zone of spleen,part of,spleen
UBERON:0001252,UBERON:0009916,adventitia of ureter,part of,wall of ureter
UBERON:0006855,UBERON:0009916,muscular coat of ureter,part of,wall of ureter
UBERON:0001254,UBERON:0000056,urothelium of ureter,part of,ureter
UBERON:0001257,UBERON:0006082,trigone of urinary bladder,part of,fundus of urinary bladder
UBERON:0001263,UBERON:0007324,pancreatic acinus,part of,pancreatic lobule
UBERON:0001266,UBERON:0001250,splenic cord,part of,red pulp of spleen
UBERON:0009967,UBERON:0001250,spleen venous sinus,part of,red pulp of spleen
UBERON:0001276,UBERON:0001199,epithelium of stomach,part of,mucosa of stomach
UBERON:0001278,UBERON:0001207,epithelium of large intestine,part of,mucosa of large intestine
UBERON:0001984,UBERON:0001207,crypt of Lieberkuhn of large intestine,part of,mucosa of large intestine
UBERON:0011189,UBERON:0001207,lamina propria of large intestine,part of,mucosa of large intestine
UBERON:0001279,UBERON:0001172,portal triad,part of,hepatic acinus
UBERON:0001281,UBERON:0006877,hepatic sinusoid,part of,vasculature of liver
UBERON:0001281,UBERON:0004647,hepatic sinusoid,part of,liver lobule
UBERON:8400006,UBERON:0004647,liver lobule periportal region,part of,liver lobule
UBERON:8400007,UBERON:0004647,liver lobule centrilobular region,part of,liver lobule
UBERON:8400008,UBERON:0004647,liver lobule midzonal region,part of,liver lobule
UBERON:0001285,UBERON:0007684,nephron,part of,uriniferous tubule
UBERON:0001287,UBERON:0004134,proximal convoluted tubule,part of,proximal tubule
UBERON:0001290,UBERON:0004134,proximal straight tubule,part of,proximal tubule
UBERON:0008404,UBERON:0004134,proximal tubular epithelium,part of,proximal tubule
UBERON:0001289,UBERON:0001288,descending limb of loop of Henle,part of,loop of Henle
UBERON:0004136,UBERON:0001288,intermediate tubule,part of,loop of Henle
UBERON:0005164,UBERON:0001288,ascending limb of loop of Henle,part of,loop of Henle
UBERON:0001290,UBERON:0006542,proximal straight tubule,part of,outer medulla outer stripe loop of Henle
UBERON:0006376,UBERON:0006542,premacula segment of distal straight tubule,part of,outer medulla outer stripe loop of Henle
UBERON:0001290,UBERON:0001289,proximal straight tubule,part of,descending limb of loop of Henle
UBERON:0005096,UBERON:0001289,descending thin limb,part of,descending limb of loop of Henle
UBERON:0001291,UBERON:0005164,thick ascending limb of loop of Henle,part of,ascending limb of loop of Henle
UBERON:0004193,UBERON:0005164,loop of Henle ascending limb thin segment,part of,ascending limb of loop of Henle
UBERON:0001292,UBERON:0004135,distal convoluted tubule,part of,distal tubule
UBERON:0002335,UBERON:0004135,macula densa,part of,distal tubule
UBERON:0001293,UBERON:0000362,outer medulla of kidney,part of,renal medulla
UBERON:0001294,UBERON:0000362,inner medulla of kidney,part of,renal medulla
UBERON:0005185,UBERON:0000362,renal medulla collecting duct,part of,renal medulla
UBERON:0005211,UBERON:0000362,renal medulla interstitium,part of,renal medulla
UBERON:0001295,UBERON:0000459,endometrium,part of,uterine wall
UBERON:0001296,UBERON:0000459,myometrium,part of,uterine wall
UBERON:0001332,UBERON:0000989,prepuce of penis,part of,penis
UBERON:0001334,UBERON:0003100,female urethra,part of,female organism
UBERON:0001335,UBERON:0001333,prostatic urethra,part of,male urethra
UBERON:0001344,UBERON:0000996,epithelium of vagina,part of,vagina
UBERON:0001351,UBERON:0002392,lacrimal sac,part of,nasolacrimal duct
UBERON:0001352,UBERON:0001691,external acoustic meatus,part of,external ear
UBERON:0001384,UBERON:0001870,primary motor cortex,part of,frontal cortex
UBERON:0001416,UBERON:0000916,skin of abdomen,part of,abdomen
UBERON:0001471,UBERON:0001332,skin of prepuce of penis,part of,prepuce of penis
UBERON:0001473,UBERON:0004536,lymphatic vessel,part of,lymph vasculature
UBERON:0001485,UBERON:0001465,knee joint,part of,knee
UBERON:0001515,UBERON:0000915,thoracic aorta,part of,thoracic segment of trunk
UBERON:0001529,UBERON:0007204,brachiocephalic artery,part of,brachiocephalic vasculature
UBERON:0001555,UBERON:0001007,digestive tract,part of,digestive system
UBERON:0001630,UBERON:0001015,muscle organ,part of,musculature
UBERON:0001639,UBERON:0010194,hepatic portal vein,part of,hepatic portal system
UBERON:0001690,UBERON:0002105,ear,part of,vestibulo-auditory system
UBERON:0001711,UBERON:0000019,eyelid,part of,camera-type eye
UBERON:0001747,UBERON:0002046,parenchyma of thyroid gland,part of,thyroid gland
UBERON:0001754,UBERON:0001091,dental pulp,part of,calcareous tooth
UBERON:0001758,UBERON:0003672,periodontium,part of,dentition
UBERON:0001763,UBERON:0008281,odontogenic papilla,part of,tooth bud
UBERON:0005176,UBERON:0008281,tooth enamel organ,part of,tooth bud
UBERON:0001770,UBERON:0001850,lacrimal canaliculus,part of,lacrimal drainage system
UBERON:0002392,UBERON:0001850,nasolacrimal duct,part of,lacrimal drainage system
UBERON:0001773,UBERON:0012430,sclera,part of,tunica fibrosa of eyeball
UBERON:0001775,UBERON:0011892,ciliary body,part of,anterior uvea
UBERON:0001776,UBERON:0001768,optic choroid,part of,uvea
UBERON:0001777,UBERON:0000964,substantia propria of cornea,part of,cornea
UBERON:0001985,UBERON:0000964,corneal endothelium,part of,cornea
UBERON:0001778,UBERON:0001775,ciliary epithelium,part of,ciliary body
UBERON:0001786,UBERON:0000053,fovea centralis,part of,macula lutea
UBERON:0001791,UBERON:0003902,inner nuclear layer of retina,part of,retinal neural layer
UBERON:0001803,UBERON:0000965,epithelium of lens,part of,lens of camera-type eye
UBERON:0001811,UBERON:0005908,conjunctiva,part of,conjunctival sac
UBERON:0001811,UBERON:0010409,conjunctiva,part of,ocular surface region
UBERON:0001817,UBERON:0001750,lacrimal gland,part of,lacrimal apparatus
UBERON:0001850,UBERON:0001750,lacrimal drainage system,part of,lacrimal apparatus
UBERON:0001821,UBERON:0011932,sebaceous gland,part of,pilosebaceous unit
UBERON:0002073,UBERON:0011932,hair follicle,part of,pilosebaceous unit
UBERON:0001828,UBERON:0003729,gingiva,part of,mouth mucosa
UBERON:0002424,UBERON:0003729,oral epithelium,part of,mouth mucosa
UBERON:0001828,UBERON:0011595,gingiva,part of,jaw region
UBERON:0001844,UBERON:0001839,cochlea,part of,bony labyrinth
UBERON:0001862,UBERON:0001849,vestibular labyrinth,part of,membranous labyrinth
UBERON:0001886,UBERON:0004086,choroid plexus,part of,brain ventricle
UBERON:0001886,UBERON:0005283,choroid plexus,part of,tela choroidea
UBERON:0001893,UBERON:0001890,telencephalon,part of,forebrain
UBERON:0001898,UBERON:0010225,hypothalamus,part of,thalamic complex
UBERON:0001898,UBERON:0000349,hypothalamus,part of,limbic system
UBERON:0001901,UBERON:0003126,epithelium of trachea,part of,trachea
UBERON:0005203,UBERON:0003126,trachea gland,part of,trachea
UBERON:0001905,UBERON:0015238,pineal body,part of,pineal complex
UBERON:0001912,UBERON:0001911,lobule of mammary gland,part of,mammary gland
UBERON:0003244,UBERON:0001911,epithelium of mammary gland,part of,mammary gland
UBERON:0001915,UBERON:0001982,endothelium of capillary,part of,capillary
UBERON:0001917,UBERON:0001637,endothelium of artery,part of,artery
UBERON:0001930,UBERON:0002271,paraventricular nucleus of hypothalamus,part of,periventricular zone of hypothalamus
UBERON:0001949,UBERON:0001828,gingival epithelium,part of,gingiva
UBERON:0001951,UBERON:0001728,epithelium of nasopharynx,part of,nasopharynx
UBERON:0001951,UBERON:0003929,epithelium of nasopharynx,part of,digestive tract epithelium
UBERON:0009697,UBERON:0003929,epithelium of appendix,part of,digestive tract epithelium
UBERON:0001955,UBERON:0002188,epithelium of respiratory bronchiole,part of,respiratory bronchiole
UBERON:0001958,UBERON:0002187,terminal bronchiole epithelium,part of,terminal bronchiole
UBERON:0001962,UBERON:0001555,gut-associated lymphoid tissue,part of,digestive tract
UBERON:0003929,UBERON:0001555,digestive tract epithelium,part of,digestive tract
UBERON:0004786,UBERON:0001555,gastrointestinal system mucosa,part of,digestive tract
UBERON:0001963,UBERON:0002185,bronchial-associated lymphoid tissue,part of,bronchus
UBERON:0002031,UBERON:0002185,epithelium of bronchus,part of,bronchus
UBERON:8410043,UBERON:0002185,bronchus submucosal gland,part of,bronchus
UBERON:0001976,UBERON:0002469,epithelium of esophagus,part of,esophagus mucosa
UBERON:0001981,UBERON:0004537,blood vessel,part of,blood vasculature
UBERON:0001987,UBERON:0000474,placenta,part of,female reproductive system
UBERON:0001992,UBERON:0002067,papillary layer of dermis,part of,dermis
UBERON:0001993,UBERON:0002067,reticular layer of dermis,part of,dermis
UBERON:0001993,UBERON:0008877,reticular layer of dermis,part of,epidermal-dermal junction
UBERON:0001997,UBERON:0000012,olfactory epithelium,part of,somatic nervous system
UBERON:0001997,UBERON:0005386,olfactory epithelium,part of,olfactory segment of nasal mucosa
UBERON:0002005,UBERON:0002410,enteric nervous system,part of,autonomic nervous system
UBERON:0002006,UBERON:0000029,cortex of lymph node,part of,lymph node
UBERON:0002007,UBERON:0000029,medulla of lymph node,part of,lymph node
UBERON:0002195,UBERON:0000029,trabecula of lymph node,part of,lymph node
UBERON:8410041,UBERON:0000029,venule of lymph node,part of,lymph node
UBERON:8410042,UBERON:0000029,arteriole of lymph node,part of,lymph node
UBERON:8410065,UBERON:0000029,lymph node follicle marginal zone,part of,lymph node
UBERON:0002012,UBERON:0008886,pulmonary artery,part of,pulmonary vascular system
UBERON:0002018,UBERON:0002217,synovial membrane of synovial joint,part of,synovial joint
UBERON:0010996,UBERON:0002217,articular cartilage of joint,part of,synovial joint
UBERON:0002025,UBERON:0001003,stratum basale of epidermis,part of,skin epidermis
UBERON:0002026,UBERON:0001003,stratum spinosum of epidermis,part of,skin epidermis
UBERON:0002069,UBERON:0001003,stratum granulosum of epidermis,part of,skin epidermis
UBERON:0002073,UBERON:0001003,hair follicle,part of,skin epidermis
UBERON:0010402,UBERON:0001003,epidermis suprabasal layer,part of,skin epidermis
UBERON:0002029,UBERON:0002110,epithelium of gall bladder,part of,gallbladder
UBERON:0002037,UBERON:0001895,cerebellum,part of,metencephalon
UBERON:0002049,UBERON:0007798,vasculature,part of,vascular system
UBERON:0002062,UBERON:0002165,endocardial cushion,part of,endocardium
UBERON:0002072,UBERON:0002199,hypodermis,part of,integument
UBERON:0002097,UBERON:0002199,skin of body,part of,integument
UBERON:0002107,UBERON:0002423,liver,part of,hepatobiliary system
UBERON:0002110,UBERON:0002294,gallbladder,part of,biliary system
UBERON:0002113,UBERON:0011143,kidney,part of,upper urinary tract
UBERON:0002123,UBERON:0002370,cortex of thymus,part of,thymus
UBERON:0002124,UBERON:0002370,medulla of thymus,part of,thymus
UBERON:0003846,UBERON:0002370,thymus epithelium,part of,thymus
UBERON:0004791,UBERON:0002370,thymus trabecula,part of,thymus
UBERON:0002139,UBERON:0002314,subcommissural organ,part of,midbrain tectum
UBERON:0002139,UBERON:0011357,subcommissural organ,part of,Reissner's fiber
UBERON:0002185,UBERON:0007196,bronchus,part of,tracheobronchial tree
UBERON:0003126,UBERON:0007196,trachea,part of,tracheobronchial tree
UBERON:0002186,UBERON:0010368,bronchiole,part of,pulmonary lobule
UBERON:0002190,UBERON:0002072,subcutaneous adipose tissue,part of,hypodermis
UBERON:0002196,UBERON:0000007,adenohypophysis,part of,pituitary gland
UBERON:0002198,UBERON:0000007,neurohypophysis,part of,pituitary gland
UBERON:0002212,UBERON:0001854,macula of saccule of membranous labyrinth,part of,saccule of membranous labyrinth
UBERON:0003242,UBERON:0001854,epithelium of saccule,part of,saccule of membranous labyrinth
UBERON:0002227,UBERON:0001855,spiral organ of cochlea,part of,cochlear duct of membranous labyrinth
UBERON:0002276,UBERON:0001855,lamina of spiral limbus,part of,cochlear duct of membranous labyrinth
UBERON:0002282,UBERON:0001855,stria vascularis of cochlear duct,part of,cochlear duct of membranous labyrinth
UBERON:0006725,UBERON:0001855,spiral ligament,part of,cochlear duct of membranous labyrinth
UBERON:0002242,UBERON:0001066,nucleus pulposus,part of,intervertebral disk
UBERON:0004715,UBERON:0001066,annulus fibrosus disci intervertebralis,part of,intervertebral disk
UBERON:0002264,UBERON:0005366,olfactory bulb,part of,olfactory lobe
UBERON:0002285,UBERON:0001893,telencephalic ventricle,part of,telencephalon
UBERON:0002299,UBERON:0006524,alveolus of lung,part of,alveolar system
UBERON:0002299,UBERON:0008874,alveolus of lung,part of,pulmonary acinus
UBERON:0002320,UBERON:0004190,glomerular mesangium,part of,renal glomerulus vasculature
UBERON:0002320,UBERON:0002319,glomerular mesangium,part of,mesangium
UBERON:0002321,UBERON:0002319,extraglomerular mesangium,part of,mesangium
UBERON:0002321,UBERON:0002303,extraglomerular mesangium,part of,juxtaglomerular apparatus
UBERON:0002335,UBERON:0002303,macula densa,part of,juxtaglomerular apparatus
UBERON:0002328,UBERON:0011137,notochord,part of,axial skeletal system
UBERON:0002337,UBERON:0001295,endometrial stroma,part of,endometrium
UBERON:0004811,UBERON:0001295,endometrium epithelium,part of,endometrium
UBERON:0015172,UBERON:0001295,endometrial blood vessel,part of,endometrium
UBERON:0002339,UBERON:0002183,epithelium of lobar bronchus,part of,lobar bronchus
UBERON:0002342,UBERON:0002346,neural crest,part of,neurectoderm
UBERON:0002348,UBERON:0002425,epicardium,part of,visceral serous pericardium
UBERON:0002351,UBERON:0002350,sinoatrial node,part of,conducting system of heart
UBERON:0002352,UBERON:0002350,atrioventricular node,part of,conducting system of heart
UBERON:0004146,UBERON:0002350,His-Purkinje system,part of,conducting system of heart
UBERON:0009966,UBERON:0002350,internodal tract,part of,conducting system of heart
UBERON:0002353,UBERON:0004146,bundle of His,part of,His-Purkinje system
UBERON:0002358,UBERON:0003697,peritoneum,part of,abdominal wall
UBERON:0002358,UBERON:0035820,peritoneum,part of,peritoneal sac
UBERON:0002360,UBERON:0010743,meninx,part of,meningeal cluster
UBERON:0002364,UBERON:0001756,tympanic membrane,part of,middle ear
UBERON:0002365,UBERON:0002330,exocrine gland,part of,exocrine system
UBERON:0002370,UBERON:0000153,thymus,part of,anterior region of body
UBERON:0002371,UBERON:0001474,bone marrow,part of,bone element
UBERON:0002481,UBERON:0001474,bone tissue,part of,bone element
UBERON:0002371,UBERON:0002405,bone marrow,part of,immune system
UBERON:0002372,UBERON:0001735,tonsil,part of,tonsillar ring
UBERON:0002394,UBERON:0001173,bile duct,part of,biliary tree
UBERON:0002400,UBERON:0000977,parietal pleura,part of,pleura
UBERON:0002401,UBERON:0000977,visceral pleura,part of,pleura
UBERON:0002421,UBERON:0000956,hippocampal formation,part of,cerebral cortex
UBERON:0002450,UBERON:0001987,decidua,part of,placenta
UBERON:0004021,UBERON:0001987,spongiotrophoblast layer,part of,placenta
UBERON:0002451,UBERON:0012276,endometrial gland,part of,endometrium glandular epithelium
UBERON:0002506,UBERON:0001769,iris epithelium,part of,iris
UBERON:0002512,UBERON:0000992,corpus luteum,part of,ovary
UBERON:0013192,UBERON:0000992,ovarian medulla,part of,ovary
UBERON:0002771,UBERON:0001871,middle temporal gyrus,part of,temporal lobe
UBERON:0003059,UBERON:0003077,presomitic mesoderm,part of,paraxial mesoderm
UBERON:0003127,UBERON:0005155,open tracheal system trachea,part of,open tracheal system
UBERON:0003129,UBERON:0010323,skull,part of,cranial skeletal system
UBERON:0003210,UBERON:0001886,blood-cerebrospinal fluid barrier,part of,choroid plexus
UBERON:0003214,UBERON:0001912,mammary gland alveolus,part of,lobule of mammary gland
UBERON:0003241,UBERON:0002214,epithelium of utricle,part of,macula of utricle of membranous labyrinth
UBERON:0003354,UBERON:0001052,epithelium of rectum,part of,rectum
UBERON:0003422,UBERON:0002331,mesenchyme of umbilical cord,part of,umbilical cord
UBERON:0003456,UBERON:0001004,respiratory system lymphatic vessel,part of,respiratory system
UBERON:0003517,UBERON:0006544,kidney blood vessel,part of,kidney vasculature
UBERON:0003530,UBERON:0001466,pedal digit skin,part of,pedal digit
UBERON:0003688,UBERON:0001178,omentum,part of,visceral peritoneum
UBERON:0003942,UBERON:0003942,somatosensory system,part of,somatosensory system
UBERON:0003988,UBERON:0002125,thymus corticomedullary boundary,part of,thymus lobule
UBERON:0004129,UBERON:0010363,growth plate cartilage,part of,endochondral element
UBERON:0004178,UBERON:0000947,aorta smooth muscle tissue,part of,aorta
UBERON:0004179,UBERON:0000428,prostate glandular acinus,part of,prostate epithelium
UBERON:0004188,UBERON:0000074,glomerular epithelium,part of,renal glomerulus
UBERON:0004193,UBERON:0003455,loop of Henle ascending limb thin segment,part of,inner renal medulla loop of Henle
UBERON:0004203,UBERON:0001232,cortical collecting duct,part of,collecting duct of renal tubule
UBERON:0005185,UBERON:0001232,renal medulla collecting duct,part of,collecting duct of renal tubule
UBERON:0004204,UBERON:0001293,outer medullary collecting duct,part of,outer medulla of kidney
UBERON:0004775,UBERON:0001293,outer renal medulla vasa recta,part of,outer medulla of kidney
UBERON:0005213,UBERON:0001293,outer renal medulla interstitium,part of,outer medulla of kidney
UBERON:0006341,UBERON:0001293,outer renal medulla peritubular capillary,part of,outer medulla of kidney
UBERON:0004205,UBERON:0001294,inner medullary collecting duct,part of,inner medulla of kidney
UBERON:0004776,UBERON:0001294,inner renal medulla vasa recta,part of,inner medulla of kidney
UBERON:0005214,UBERON:0001294,inner renal medulla interstitium,part of,inner medulla of kidney
UBERON:0004227,UBERON:0001224,kidney pelvis smooth muscle,part of,renal pelvis
UBERON:0004788,UBERON:0001224,kidney pelvis urothelium,part of,renal pelvis
UBERON:0004262,UBERON:0000376,upper leg skin,part of,hindlimb stylopod
UBERON:0004294,UBERON:0004212,glomerular capillary endothelium,part of,glomerular capillary
UBERON:0004510,UBERON:0002381,skeletal muscle tissue of pectoralis major,part of,pectoralis major
UBERON:0004544,UBERON:0001301,epididymis epithelium,part of,epididymis
UBERON:0004638,UBERON:0001981,blood vessel endothelium,part of,blood vessel
UBERON:0004645,UBERON:0001259,urinary bladder urothelium,part of,mucosa of urinary bladder
UBERON:0004664,UBERON:0004663,aorta tunica adventitia,part of,aorta wall
UBERON:0004780,UBERON:0004786,gastrointestinal system lamina propria,part of,gastrointestinal system mucosa
UBERON:0004801,UBERON:0000002,cervix epithelium,part of,uterine cervix
UBERON:0004802,UBERON:0000072,respiratory tract epithelium,part of,proximo-distal subdivision of respiratory tract
